На складе (тонн),Вес 1 шт./кг.,,Цена 1 - 5 т. ,"Цена 5 - 15 т.
",Цена > 15 т. ,Филиал,Наименование,Размер,Длина,Доп. информация/ГОСТ,Категория,Длина
12.83,3000.547,410174.77,136700,136600,136500,ИЖЕВСК,Круг Ст40Х,340мм,3гп,"ГОСТ4543-2016, ТУ14-1-2118-98",Круг,4.21
5.26,2651.315,358457.75,135200,135100,135000,ЛОБНЯ,Круг Ст40Х,340мм,3гп,"ГОСТ4543-2016, ТУ14-1-2118-98",Круг,3.72
1.64,1646.154,217456.90,132100,132000,131900,ВОЛГОГРАД,Круг Ст45,340мм.,3ГП,ТУ14-1-2118-98 ГОСТ1050-88 3ГП,Круг,2.3
7.32,2672.696,361081.26,135100,135000,134900,ИЖЕВСК,Круг Ст45,340мм.,3ГП,ТУ14-1-2118-98 ГОСТ1050-88 3ГП,Круг,3.75
05.07,2658.442,351180.17,132100,132000,131900,ЛОБНЯ,Круг Ст45,340мм.,3ГП,ТУ14-1-2118-98 ГОСТ1050-88 3ГП,Круг,3.73
50.09,300.639,19902.29,65200,65100,65000,ИЖЕВСК,Круг Ст40Х,90мм,,"ГОСТ2590,4543/ТУ14-1-5228-93",Круг,06.02
12.52,301.440,20618.48,67200,67100,67000,ВОЛГОГРАД,Круг Ст40Х,90мм,,"ГОСТ2590,4543/ТУ14-1-5228-93",Круг,06.03
10.80,2791.040,415557.95,148890,148890,148900,ЧЕЛЯБИНСК,Круг ст30ХГСА,340мм,,"ТУ 14-1-2118-98,4543-2016 3ГП",Круг,3.92
2.40,2396.602,316591.19,132100,132000,131900,ЛОБНЯ,Круг Ст35,340мм.,,ТУ14-1-2118-98 ГОСТ1050-88 3ГП,Круг,3.38
5.74,302.000,28415.18,93090,92990,92890,ЧЕЛЯБИНСК,Круг Ст38хс,90мм,,"ГОСТ 2590-2006, 4543-2016, 2ГП",Круг,06.04
6.82,2644.929,357594.47,135200,135100,135000,ВОЛГОГРАД,Круг Ст40Х,340мм,3гп,"ГОСТ4543-2016, ТУ14-1-2118-98",Круг,3.71
13.54,301.638,19214.32,62200,62100,62000,ЛОБНЯ,Круг Ст35,90мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,06.04
11.79,42.904,2754.47,61200,61100,61000,ИЖЕВСК,Круг Ст3,34мм,(6+нд),ГОСТ 2590,Круг,06.02
31.57,43.190,2751.18,59200,59100,59000,ЛОБНЯ,Круг Ст3,34мм,(6+нд),ГОСТ 2590,Круг,06.06
7.90,42.067,2911.04,66200,66100,66000,ИЖЕВСК,Круг Ст09Г2С,34мм,,"ГОСТ2590,19281-2014",Круг,5.9
7.14,42.994,2824.70,62700,62600,62500,ИЖЕВСК,Круг Ст20,34мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.03
20.16,43.279,2800.16,60200,60100,60000,ЛОБНЯ,Круг Ст20,34мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.07
13.64,48.100,3472.81,68200,68100,68000,ВОЛГОГРАД,Круг Ст09Г2С,36мм,,"ГОСТ2590,19281-2014",Круг,06.02
22.97,48.180,3334.04,66200,66100,66000,ИЖЕВСК,Круг Ст09Г2С,36мм,,"ГОСТ2590,19281-2014",Круг,06.03
4.59,46.342,3762.97,78200,77890,77890,ИЖЕВСК,Круг ст18ХГТ,36мм,,ГОСТ 2590-2006 4543-2016 2ГП,Круг,5.8
1.60,47.206,5806.36,123000,122890,122890,НОВОСИБИРСК,Круг Ст40х калиброванный,35мм,НД,ГОСТ 7417-75,4543-2016,Круг
0.99,47.206,5985.75,123800,122800,121800,ЧЕЛЯБИНСК,Круг Ст40х калиброванный,35мм,НД,ГОСТ 7417-75,4543-2016,Круг
0.84,43.052,5812.03,131000,129890,129890,ВОЛГОГРАД,Круг Ст45 калиброванный,35мм,НД,ГОСТ 7417-75,1050-2013,Круг
0.84,43.203,5089.34,114800,113800,113800,ЕКАТЕРИНБУРГ,Круг Ст45 калиброванный,35мм,НД,ГОСТ 7417-75,1050-2013,Круг
03.09,43.052,5209.30,121000,119890,119890,НОВОСИБИРСК,Круг Ст45 калиброванный,35мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.24,43.430,5081.27,113000,111890,111890,УФА,Круг Ст45 калиброванный,35мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.40,43.430,5116.02,114800,113800,113800,ЧЕЛЯБИНСК,Круг Ст45 калиброванный,35мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.45,39.627,4644.28,117200,116890,116890,НОВОСИБИРСК,Круг Ст9ХС,35мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,5.25
4.11,39.627,4604.66,113200,112890,112890,ЧЕЛЯБИНСК,Круг Ст9ХС,35мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,5.25
0.18,40.004,3684.41,89100,88990,88990,ИЖЕВСК,Круг СтУ8А,35мм,,"ГОСТ 2590-2006, 1435-99 2ГП",Круг,5.3
3.85,35.899,3345.81,93200,92890,92890,НОВОСИБИРСК,Круг СтУ8А,35мм,,"ГОСТ 2590-2006, 1435-99 2ГП",Круг,4.8
2.56,37.514,3496.27,90200,89890,89890,ЧЕЛЯБИНСК,Круг СтУ8А,35мм,,"ГОСТ 2590-2006, 1435-99 2ГП",Круг,4.97
5.83,38.760,15038.88,385000,385000,385000,ЧЕЛЯБИНСК,Круг СтХВГ,35,,"ГОСТ 2590-06,5950-2000,2ГП,Т/О",Круг,5.1
1.17,42.507,5007.30,114800,113800,113800,ЕКАТЕРИНБУРГ,Круг Ст20 калиброванный,36мм,НД,ГОСТ 7417-75,1050-2013,Круг
3.68,43.545,5269.01,121000,119890,119890,НОВОСИБИРСК,Круг Ст20 калиброванный,36мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.81,43.146,5048.08,113000,111890,111890,УФА,Круг Ст20 калиброванный,36мм,НД,ГОСТ 7417-75,1050-2013,Круг
2.83,48.000,5654.40,114800,113800,113800,ЧЕЛЯБИНСК,Круг Ст20 калиброванный,36мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.50,47.940,3293.48,65700,65600,65500,ИЖЕВСК,Круг Ст20Х,36мм.,,"ГОСТ 2590-2006, 4543-71",Круг,6
7.92,47.940,3638.17,72890,72890,72890,ЧЕЛЯБИНСК,Круг ст18ХГТ,36мм,,ГОСТ 2590-2006 4543-2016 2ГП,Круг,6
11.86,48.190,3238.37,63200,63100,63000,ВОЛГОГРАД,Круг Ст20,36мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.02
09.09,47.940,3149.66,62700,62600,62500,ИЖЕВСК,Круг Ст20,36мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,6
19.37,48.180,3117.23,60200,60100,60000,ЛОБНЯ,Круг Ст20,36мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.03
0.74,830.764,110242.38,132100,132000,131900,ВОЛГОГРАД,Круг Ст35,350мм.,,ТУ14-1-2118-98 ГОСТ1050-88 3ГП,Круг,1.1
5.52,2764.178,365147.97,132100,132000,131900,ЛОБНЯ,Круг Ст35,350мм.,,ТУ14-1-2118-98 ГОСТ1050-88 3ГП,Круг,3.66
3.69,2688.557,363492.91,135200,135100,135000,ВОЛГОГРАД,Круг Ст40Х,350мм,3гп,"ГОСТ4543-2016, ТУ14-1-2118-98",Круг,3.55
2.74,2771.731,378895.60,136700,136600,136500,ИЖЕВСК,Круг Ст40Х,350мм,3гп,"ГОСТ4543-2016, ТУ14-1-2118-98",Круг,3.67
5.82,2658.445,359421.74,135200,135100,135000,ЛОБНЯ,Круг Ст40Х,350мм,3гп,"ГОСТ4543-2016, ТУ14-1-2118-98",Круг,3.52
10.58,2749.074,371399.84,135100,135000,134900,ИЖЕВСК,Круг Ст20,350мм,,ТУ14-1-2118-98 ГОСТ1050-88 ЗГП,Круг,3.64
11.58,2598.715,343290.28,132100,132000,131900,ЛОБНЯ,Круг Ст20,350мм,,ТУ14-1-2118-98 ГОСТ1050-88 ЗГП,Круг,3.4
2.49,2513.737,419517.58,166890,165890,165890,ИЖЕВСК,Круг ст30ХГСА,350мм,,"ТУ 14-1-2118-98,4543-2016 3ГП",Круг,3.33
10.14,2538.828,378006.04,148890,148890,148900,ЧЕЛЯБИНСК,Круг ст30ХГСА,350мм,,"ТУ 14-1-2118-98,4543-2016 3ГП",Круг,3.4
1.79,301.138,19634.21,64200,64100,64000,ИЖЕВСК,Круг Ст3,90мм,,"ГОСТ2590,535/ТУ14-1-5228-93",Круг,06.03
5.13,301.638,20028.74,65200,65100,65000,ВОЛГОГРАД,Круг Ст3,90мм,,"ГОСТ2590,535/ТУ14-1-5228-93",Круг,06.04
1.86,45.922,5556.59,121000,119890,119890,НОВОСИБИРСК,Круг Ст35 калиброванный,35мм,НД,ГОСТ 7417-75,1050-2013,Круг
5.90,45.375,3117.30,65700,65600,65500,ИЖЕВСК,Круг Ст40Х,35мм.,,"ГОСТ2590,4543-2016",Круг,06.01
2.42,2356.349,184973.38,78500,78500,78500,НОВОСИБИРСК,Круг Ст40Х,350мм,3ГП,ТУ14-1-2118-98 А_,Круг,3.12
19.23,300.639,19150.69,62200,62100,62000,ЛОБНЯ,Круг Ст3,90мм,,"ГОСТ2590,535/ТУ14-1-5228-93",Круг,06.02
3.23,2342.174,309401.19,132100,132000,131900,ВОЛГОГРАД,Круг Ст45,350мм.,3ГП,ТУ14-1-2118-98 ГОСТ1050-88 3ГП,Круг,3.1
5.18,2643.340,357115.23,135100,135000,134900,ИЖЕВСК,Круг Ст45,350мм.,3ГП,ТУ14-1-2118-98 ГОСТ1050-88 3ГП,Круг,3.5
9.12,2635.788,348187.54,132100,132000,131900,ЛОБНЯ,Круг Ст45,350мм.,3ГП,ТУ14-1-2118-98 ГОСТ1050-88 3ГП,Круг,3.49
12.54,35.967,2909.37,77890,77890,77890,ИЖЕВСК,Круг ст30ХГСА,32мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,5.7
0.56,38.049,2518.86,62200,62100,62000,ВОЛГОГРАД,Круг Ст3,32мм,(6+нд),ГОСТ 2590,Круг,06.03
24.16,38.112,2446.82,61200,61100,61000,ИЖЕВСК,Круг Ст3,32мм,(6+нд),ГОСТ 2590,Круг,06.04
10.42,38.049,2423.74,59200,59100,59000,ЛОБНЯ,Круг Ст3,32мм,(6+нд),ГОСТ 2590,Круг,06.03
14.01,302.636,19277.94,62200,62100,62000,ЛОБНЯ,Круг Ст45,90мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,06.06
1.97,40.322,4749.94,114800,113800,113800,ЕКАТЕРИНБУРГ,Круг Ст35 калиброванный,32мм,НД,ГОСТ 7417-75,1050-2013,Круг
04.05,37.980,4595.58,121000,119890,119890,НОВОСИБИРСК,Круг Ст35 калиброванный,32мм,НД,ГОСТ 7417-75,1050-2013,Круг
4.42,40.512,4772.31,114800,113800,113800,ЧЕЛЯБИНСК,Круг Ст35 калиброванный,32мм,НД,ГОСТ 7417-75,1050-2013,Круг
4.17,36.913,3731.59,98090,97990,97890,ЧЕЛЯБИНСК,Круг Ст38хс,32мм,,"ГОСТ 2590-2006, 4543-2016, 2ГП",Круг,5.85
5.47,38.049,2671.06,66200,66100,66000,ВОЛГОГРАД,Круг Ст40Х,32мм.,,"ГОСТ 2590,4543-2016",Круг,06.03
16.63,37.986,2609.65,65700,65600,65500,ИЖЕВСК,Круг Ст40Х,32мм.,,"ГОСТ 2590,4543-2016",Круг,06.02
5.81,37.860,2948.92,74890,74890,74890,ЧЕЛЯБИНСК,Круг ст30ХГСА,32мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,6
1.78,38.112,2561.15,63200,63100,63000,ВОЛГОГРАД,Круг Ст35,32мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.04
14.14,38.049,2499.84,62700,62600,62500,ИЖЕВСК,Круг Ст35,32мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.03
19.08,38.302,2478.12,60200,60100,60000,ЛОБНЯ,Круг Ст35,32мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.07
7.17,38.130,2562.37,63200,63100,63000,ВОЛГОГРАД,Круг Ст20,32мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.04
1.69,38.067,2501.03,62700,62600,62500,ИЖЕВСК,Круг Ст20,32мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.03
8.58,2802.617,378633.53,135100,135000,134900,ИЖЕВСК,Круг Ст45,320мм.,3ГП,ТУ14-1-2118-98 ГОСТ1050-88 3ГП,Круг,4.44
13.27,2752.119,363554.95,132100,132000,131900,ЛОБНЯ,Круг Ст45,320мм.,3ГП,ТУ14-1-2118-98 ГОСТ1050-88 3ГП,Круг,4.36
8.80,37.860,2619.91,66200,66100,66000,ИЖЕВСК,Круг Ст09Г2С,32мм,,"ГОСТ2590,19281-2014",Круг,6
1.56,38.613,5289.98,133000,131890,131890,ВОЛГОГРАД,Круг Ст20 калиброванный,32мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.94,34.435,4056.47,114800,113800,113800,ЕКАТЕРИНБУРГ,Круг Ст20 калиброванный,32мм,НД,ГОСТ 7417-75,1050-2013,Круг
2.58,38.423,4572.35,115000,113890,113890,УФА,Круг Ст20 калиброванный,32мм,НД,ГОСТ 7417-75,1050-2013,Круг
7.73,38.067,2462.96,60200,60100,60000,ЛОБНЯ,Круг Ст20,32мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.03
7.96,2751.100,409611.28,148890,148890,148900,ЧЕЛЯБИНСК,Круг ст30ХГСА,330мм,,"ТУ 14-1-2118-98,4543-2016 3ГП",Круг,4.1
5.50,2601.003,343592.52,132100,132000,131900,ЛОБНЯ,Круг Ст35,330мм.,,ТУ14-1-2118-98 ГОСТ1050-88 3ГП,Круг,3.96
10.01,2881.576,389589.05,135200,135100,135000,ВОЛГОГРАД,Круг Ст40Х,330мм,3гп,"ГОСТ4543-2016, ТУ14-1-2118-98",Круг,4.29
3.81,2732.989,373599.56,136700,136600,136500,ИЖЕВСК,Круг Ст40Х,330мм,3гп,"ГОСТ4543-2016, ТУ14-1-2118-98",Круг,04.07
11.46,2784.022,376399.83,135200,135100,135000,ЛОБНЯ,Круг Ст40Х,330мм,3гп,"ГОСТ4543-2016, ТУ14-1-2118-98",Круг,4.146
10.97,2820.283,381020.26,135100,135000,134900,ИЖЕВСК,Круг Ст20,330мм.,,ТУ14-1-2118-98 ГОСТ1050-88 ЗГП,Круг,4.2
5.71,2719.559,359253.72,132100,132000,131900,ЛОБНЯ,Круг Ст20,330мм.,,ТУ14-1-2118-98 ГОСТ1050-88 ЗГП,Круг,04.05
0.09,94.009,8883.89,94500,94500,94500,ИЖЕВСК,Круг Ст20,330мм.,3ГП,А,Круг,0.14
5.32,2715.459,375276.49,138200,138100,138000,ИЖЕВСК,Круг Ст09Г2С,340мм,3гп,"ГОСТ19281-2014, ТС132-108-2023",Круг,3.81
12.78,301.638,19817.59,64200,64100,64000,ЛОБНЯ,Круг Ст40Х,90мм,,"ГОСТ2590,4543/ТУ14-1-5228-93",Круг,06.04
0.32,313.596,42680.47,135100,135000,134900,ИЖЕВСК,Круг Ст20,340мм.,,ТУ14-1-2118-98 ГОСТ1050-88 ЗГП,Круг,0.44
4.66,2709.092,357871.08,132100,132000,131900,ВОЛГОГРАД,Круг Ст20,340мм,3ГП,ТУ14-1-2118-98 ГОСТ1050,Круг,3.8
3.69,1760.416,237832.19,135100,135000,134900,ИЖЕВСК,Круг Ст20,340мм,3ГП,ТУ14-1-2118-98 ГОСТ1050,Круг,2.47
3.31,2743.968,362478.19,132100,132000,131900,ЛОБНЯ,Круг Ст20,340мм,3ГП,ТУ14-1-2118-98 ГОСТ1050,Круг,3.85
8.82,2774.104,366459.20,132100,132000,131900,ВОЛГОГРАД,Круг Ст45,330мм.,3ГП,ТУ14-1-2118-98 ГОСТ1050-88 3ГП,Круг,4.13
5.23,2779.993,375577.11,135100,135000,134900,ИЖЕВСК,Круг Ст45,330мм.,3ГП,ТУ14-1-2118-98 ГОСТ1050-88 3ГП,Круг,4.14
8.13,2793.423,369011.23,132100,132000,131900,ЛОБНЯ,Круг Ст45,330мм.,3ГП,ТУ14-1-2118-98 ГОСТ1050-88 3ГП,Круг,4.16
1.93,34.182,4334.28,123800,122800,121800,ЕКАТЕРИНБУРГ,Круг Ст40х калиброванный,32мм,НД,ГОСТ 7417-75,4543-2016,Круг
2.60,34.182,4204.39,123000,122890,122890,НОВОСИБИРСК,Круг Ст40х калиброванный,32мм,НД,ГОСТ 7417-75,4543-2016,Круг
02.01,34.182,4067.66,115000,114890,114890,УФА,Круг Ст40х калиброванный,32мм,НД,ГОСТ 7417-75,4543-2016,Круг
3.47,32.853,4165.72,123800,122800,121800,ЧЕЛЯБИНСК,Круг Ст40х калиброванный,32мм,НД,ГОСТ 7417-75,4543-2016,Круг
60.13,302.137,19699.33,64200,64100,64000,ИЖЕВСК,Круг Ст45,90мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,06.05
3.90,301.741,20035.62,65200,65100,65000,ВОЛГОГРАД,Круг Ст45,90мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,06.03
8.27,38.112,2561.15,63200,63100,63000,ВОЛГОГРАД,Круг Ст45,32мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.04
10.39,37.860,2487.40,62700,62600,62500,ИЖЕВСК,Круг Ст45,32мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,6
7.61,38.365,2597.30,63200,63100,63000,ЛОБНЯ,Круг Ст40Х,32мм.,,"ГОСТ 2590,4543-2016",Круг,06.08
1.91,34.498,4726.29,133000,132890,132890,ВОЛГОГРАД,Круг Ст40х калиброванный,32мм,НД,ГОСТ 7417-75,4543-2016,Круг
1.98,34.074,4599.99,131000,129890,129890,ВОЛГОГРАД,Круг Ст45 калиброванный,32мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.96,38.112,4489.64,114800,113800,113800,ЕКАТЕРИНБУРГ,Круг Ст45 калиброванный,32мм,НД,ГОСТ 7417-75,1050-2013,Круг
4.00,38.175,4619.24,121000,119890,119890,НОВОСИБИРСК,Круг Ст45 калиброванный,32мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.98,34.516,4038.34,113000,111890,111890,УФА,Круг Ст45 калиброванный,32мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.96,34.705,4088.25,114800,113800,113800,ЧЕЛЯБИНСК,Круг Ст45 калиброванный,32мм,НД,ГОСТ 7417-75,1050-2013,Круг
3.82,30.919,3623.71,117200,116890,116890,НОВОСИБИРСК,Круг Ст9ХС,32мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,4.9
4.70,30.919,3592.79,113200,112890,112890,ЧЕЛЯБИНСК,Круг Ст9ХС,32мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,4.9
4.67,30.540,2846.37,93200,92890,92890,НОВОСИБИРСК,Круг СтУ8А,32мм,,"ГОСТ 2590-2006, 1435-99 2ГП",Круг,4.84
6.68,30.564,2848.57,90200,89890,89890,ЧЕЛЯБИНСК,Круг СтУ8А,32мм,,"ГОСТ 2590-2006, 1435-99 2ГП",Круг,4.87
2.49,1787.414,245233.26,137200,137100,137000,ВОЛГОГРАД,Круг Ст09Г2С,330мм,3гп,"ГОСТ19281-2014, ТС132-108-2023",Круг,2.65
4.57,2598.689,359138.89,138200,138100,138000,ИЖЕВСК,Круг Ст09Г2С,330мм,3гп,"ГОСТ19281-2014, ТС132-108-2023",Круг,3.87
13.22,38.175,2469.95,60200,60100,60000,ЛОБНЯ,Круг Ст45,32мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.05
0.69,689.759,72355.68,104200,104100,104000,ИЖЕВСК,Круг Ст3,250мм,,ГОСТ 2590-2006,Круг,1.79
1.50,1071.245,96626.32,90200,90100,90000,ЛОБНЯ,Круг Ст3,250мм,,ГОСТ 2590-2006,Круг,2.78
4.88,1649.255,171852.39,104200,104100,104000,ИЖЕВСК,Круг Ст3,250мм,(3ГП),ГОСТ 2590-2006,Круг,4.28
6.25,1699.349,153281.32,90200,90100,90000,ЛОБНЯ,Круг Ст3,250мм,(3ГП),ГОСТ 2590-2006,Круг,4.41
1.88,1414.002,168110.67,118890,118890,118890,ЧЕЛЯБИНСК,Круг ст30ХГСА,250мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,3.72
0.29,285.152,35698.13,123890,123890,123890,ИЖЕВСК,Круг ст30ХГСА,250мм,,"ГОСТ 2590-2006,4543-2016 3ГП",Круг,0.74
16.76,1710.910,150902.23,88200,88100,88000,ИЖЕВСК,Круг Ст20,250мм,3ГП,"ГОСТ2590-2006,1050-2013",Круг,4.44
19.57,1888.166,164648.08,87200,87100,87000,ЛОБНЯ,Круг Ст20,250мм,3ГП,"ГОСТ2590-2006,1050-2013",Круг,4.9
10.63,1822.658,170783.07,93700,93600,93500,ИЖЕВСК,Круг Ст40Х,250мм,,"ГОСТ4543-2016,2590-2006",Круг,4.73
9.83,1699.349,156680.01,92200,92100,92000,ЛОБНЯ,Круг Ст40Х,250мм,,"ГОСТ4543-2016,2590-2006",Круг,4.41
07.08,1667.261,153721.45,92200,92100,92000,ВОЛГОГРАД,Круг Ст40Х,250мм,3гп,"ГОСТ4543-2016,2590-2006",Круг,4.32
9.91,1695.496,158867.98,93700,93600,93500,ИЖЕВСК,Круг Ст40Х,250мм,3гп,"ГОСТ4543-2016,2590-2006",Круг,4.4
11.29,1707.056,157390.58,92200,92100,92000,ЛОБНЯ,Круг Ст40Х,250мм,3гп,"ГОСТ4543-2016,2590-2006",Круг,4.43
1.76,1703.203,202493.78,118890,118890,118890,ЧЕЛЯБИНСК,Круг ст30ХГСА,250мм,,"ГОСТ 2590-2006,4543-2016 3ГП",Круг,4.42
1.35,1032.711,91085.13,88200,88100,88000,ИЖЕВСК,Круг Ст35,250мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,2.68
0.17,169.550,15123.82,87200,87100,87000,ЛОБНЯ,Круг Ст35,250мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,0.44
4.66,1734.030,152941.45,88200,88100,88000,ВОЛГОГРАД,Круг Ст35,250мм,3ГП,"ГОСТ2590-2006,1050-2013",Круг,4.5
3.73,1707.056,150562.36,88200,88100,88000,ИЖЕВСК,Круг Ст35,250мм,3ГП,"ГОСТ2590-2006,1050-2013",Круг,4.43
12.17,1807.245,157591.73,87200,87100,87000,ЛОБНЯ,Круг Ст35,250мм,3ГП,"ГОСТ2590-2006,1050-2013",Круг,4.69
9.39,1128.050,146522.41,129890,129890,129890,ЧЕЛЯБИНСК,Круг Ст38хс,250мм,,"ГОСТ 2590-2006, 4543-2016, 3ГП",Круг,2.93
11.69,935.620,121995.49,129890,129890,129890,ЧЕЛЯБИНСК,Круг Ст38хс,230мм,,"ГОСТ 2590-2006, 4543-2016, 3ГП",Круг,2.87
9.13,1888.408,164669.22,87200,87100,87000,ЛОБНЯ,Круг Ст35,230мм,3ГП,"ГОСТ2590-2006,1050-2013",Круг,5.79
3.69,1529.643,134914.56,88200,88100,88000,ИЖЕВСК,Круг Ст35,230мм,3ГП,"ГОСТ2590-2006,1050-2013",Круг,4.69
0.12,123.557,11083.06,87200,87100,87000,ЛОБНЯ,Круг Ст35,230мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,0.38
8.15,1309.315,168639.75,128800,128800,128800,ЧЕЛЯБИНСК,Круг Ст30ХМА,230мм,,"ГОСТ 2590-2006,4543-2016, 3ГП",Круг,04.03
12.25,1715.549,203961.62,118890,118890,118890,ЧЕЛЯБИНСК,Круг ст30ХГСА,230мм,,"ГОСТ 2590-2006,4543-2016 3ГП",Круг,5.26
3.38,1405.706,174152.98,123890,123890,123890,ИЖЕВСК,Круг ст30ХГСА,230мм,,"ГОСТ 2590-2006,4543-2016 3ГП",Круг,4.31
4.79,1399.183,166348.93,118890,118890,118890,ЧЕЛЯБИНСК,Круг ст30ХГСА,230мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,4.29
25.08,1663.365,153362.25,92200,92100,92000,ЛОБНЯ,Круг Ст40Х,230мм,3гп,"ГОСТ4543-2016,2590-2006",Круг,5.1
18.17,1402.445,131409.10,93700,93600,93500,ИЖЕВСК,Круг Ст40Х,230мм,3гп,"ГОСТ4543-2016,2590-2006",Круг,4.3
8.65,1868.548,172280.17,92200,92100,92000,ВОЛГОГРАД,Круг Ст40Х,230мм,3гп,"ГОСТ4543-2016,2590-2006",Круг,5.67
0.72,724.750,67329.27,92200,92100,92000,ЛОБНЯ,Круг Ст40Х,230мм,,"ГОСТ4543-2016,2590-2006",Круг,2.23
